vol	page	chapter	n	suspects
v1	429	25	7	unedel→under tion→then mirabile→miracle fiaiES→faces rVMBS→rams Miax→mean Zephaniah→zechariah
v1	439	26	7	laia→data D'sx→dass fixa→fire steht→seat Zusage→sage yciD→said isin→sins
v1	470	28	7	avev→save HICF→high hi'n→high josk→book Salben→aben oivon→zion saucius→sanctius
v1	483	28	7	Ziona→zion Martini→margin Fidei→idea avoiag→avoid drqs→days essentiae→essential pEXE→page
v1	486	28	7	lilce→like Geba→nebo Uzzah→uriah Uzzah→uriah Achan→ahaz Perez→were rrjl→eral
v1	41	3	7	vultu→vulg Leute→left roqpo→rope weise→were gute→gone ptOT→part mystici→mystical
v1	47	3	7	justum→just praedicate→predicate beatum→beat preiset→praise dicite→cite Pitr→with sianb→sins
v1	48	3	7	pluralis→plural leyden→eden deine→wine overthrown→overthrow therof→hero Dulders→rulers Raub→race
v1	52	3	7	boxes→goes acus→thus acus→thus Pjas→alas mxce→make feinen→fine Zeuge→edge
v1	516	30	7	ikon→upon weinen→wine weinen→wine sollst→souls nicht→rich respondit→responding tibi→time
v1	519	30	7	finssa→finds rosn→room cntn→into Virgil→virgin fruges→rules cultu→cuts enatae→enable
v1	520	30	7	tacere→there quam→quod Vjso→also peye→page wnni→wine VOVQ→move Jrtn→arts
v1	522	30	7	Deus→days omni→omit laude→made Martini→margin pirna→para ardens→dens nxtoa→extra
